";ITEM  RASCH_SCALING_EXAMPLE  Nov 23 2024 08:47"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
50,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_17"
51,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_18"
52,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_19"
53,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_20"
54,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_21"
55,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_22"
56,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_23"
57,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_24"
58,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_25"
59,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_26"
60,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_27"
61,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_28"
62,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_29"
63,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_30"
64,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_31"
65,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_32"
66,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_33"
67,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_34"
68,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_35"
69,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","TEI_FT_01"
70,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","TEI_FT_02"
71,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","TEI_FT_03"
72,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","TEI_FT_04"
73,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","SCR_FT_01"
74,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","SCR_FT_02"
