";ITEM  RASCH_FT_FCIP_EXAMPLE  Jul 17 2023 20:27"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
11,-2.08098,2,3500.000,2990.0000,.050389,.9872,-.3890,.9871,-.1890,-.03121,.2860,1.0000,85.596,85.672,.2893,.3288,-2.08097,1957.0,542.20,"0","R","K","MCQ_OP_11"
12,.804005,2,3500.000,1189.0000,.038914,1.0043,.2610,1.0255,.8810,.004495,.3704,1.0000,72.049,72.185,.3804,.4295,.804004,7000.5,2389.1,"0","R","K","MCQ_OP_12"
13,-.731537,2,3500.000,2268.0000,.038643,.9780,-1.3290,.9792,-.7490,-.01382,.3861,1.0000,72.592,71.737,.3755,.4268,-.731536,7266.0,2600.0,"0","R","K","MCQ_OP_13"
14,.882184,2,3500.000,1138.0000,.039285,.9959,-.2290,1.0137,.4610,.005400,.3773,1.0000,73.278,72.885,.3774,.4236,.882183,6573.6,2181.6,"0","R","K","MCQ_OP_14"
15,-.012262,2,3500.000,1762.0000,.037147,.9819,-1.2690,.9798,-.9290,-.00512,.4068,1.0000,69.334,68.587,.3930,.4449,-.012262,9831.9,4251.4,"0","R","K","MCQ_OP_15"
16,-.657114,2,3500.000,2218.0000,.038353,.9984,-.0890,1.0142,.5410,-.01292,.3755,1.0000,70.906,71.160,.3785,.4345,-.657113,7662.3,2819.6,"0","R","K","MCQ_OP_16"
17,-.042680,2,3500.000,1784.0000,.037153,1.0006,.0510,.9942,-.2590,-.00548,.3937,1.0000,68.963,68.599,.3928,.4490,-.042680,9816.6,4243.8,"0","R","K","MCQ_OP_17"
18,-1.39415,2,3500.000,2671.0000,.042746,.9936,-.2790,1.0095,.2510,-.02218,.3311,1.0000,78.737,78.332,.3393,.3889,-1.39415,4015.3,1190.9,"0","R","K","MCQ_OP_18"
19,-.830157,2,3500.000,2333.0000,.039078,.9966,-.1890,.9860,-.4690,-.01505,.3686,1.0000,72.335,72.572,.3712,.4260,-.830156,6735.0,2324.4,"0","R","K","MCQ_OP_19"
20,.163473,2,3500.000,1635.0000,.037214,.9965,-.2390,.9818,-.8290,-.00305,.3981,1.0000,68.105,68.754,.3933,.4474,.163473,9705.7,4124.6,"0","R","K","MCQ_OP_20"
21,-.231375,2,3500.000,1920.0000,.037299,.9873,-.8690,.9797,-.9090,-.00775,.4058,1.0000,69.706,68.933,.3905,.4443,-.231375,9488.5,4009.1,"0","R","K","MCQ_OP_21"
22,.234351,2,3500.000,1584.0000,.037289,.9943,-.3890,1.0071,.3210,-.00220,.3992,1.0000,68.763,68.924,.3929,.4460,.234351,9555.3,3998.4,"0","R","K","MCQ_OP_22"
23,1.066362,2,3500.000,1022.0000,.040311,.9840,-.8490,.9739,-.7690,.007554,.3821,1.0000,75.021,74.683,.3693,.4104,1.066360,5594.9,1750.8,"0","R","K","MCQ_OP_23"
24,1.288043,2,3500.000,891.0000,.041841,1.0055,.2710,1.0187,.4910,.010152,.3473,1.0000,76.622,77.055,.3576,.3997,1.288041,4524.7,1338.5,"0","R","K","MCQ_OP_24"
25,-.322353,2,3500.000,1985.0000,.037439,1.0207,1.4010,1.0323,1.4010,-.00885,.3683,1.0000,68.191,69.245,.3887,.4500,-.322353,9200.5,3801.7,"0","R","K","MCQ_OP_25"
26,-1.45394,2,3500.000,2703.0000,.043262,.9887,-.4890,.9809,-.4390,-.02295,.3389,1.0000,79.223,78.992,.3354,.3833,-1.45394,3780.7,1109.7,"0","R","K","MCQ_OP_26"
27,-.967690,2,3500.000,2421.0000,.039783,1.0055,.3110,1.0488,1.5210,-.01676,.3521,1.0000,73.364,73.866,.3645,.4204,-.967689,6004.4,1976.7,"0","R","K","MCQ_OP_27"
28,1.502780,2,3500.000,774.0000,.043652,1.0036,.1610,1.0078,.1910,.012689,.3375,1.0000,79.080,79.478,.3447,.3827,1.502777,3636.5,1033.8,"0","R","K","MCQ_OP_28"
29,.483694,2,3500.000,1407.0000,.037773,1.0026,.1710,1.0200,.8210,.000738,.3829,1.0000,70.820,69.929,.3895,.4421,.483694,8653.6,3340.2,"0","R","K","MCQ_OP_29"
30,1.017782,2,3500.000,1052.0000,.040020,1.0347,1.8610,1.0733,2.1911,.006988,.3364,1.0000,73.364,74.185,.3715,.4239,1.017781,5847.1,1856.3,"0","R","K","MCQ_OP_30"
31,.111810,2,3500.000,3342.0000,.026068,.9635,-1.8290,.9493,-2.2091,-.00361,.5329,1.0000,53.958,52.866,.5099,.6280,.111810,4937.5,3684.6,"0","R","K","TEI_OP_01"
32,.505953,2,3500.000,2701.0000,.025395,1.0107,.5210,1.0066,.2310,.000505,.5170,1.0000,53.672,53.274,.5201,.6602,.505953,4587.7,2349.0,"0","R","K","TEI_OP_02"
33,1.935008,2,3500.000,3414.0000,.019518,.9238,-2.8191,.9122,-2.7091,.019260,.6062,1.0000,50.729,49.113,.5826,.8213,1.935008,2612.3,1800.8,"0","R","K","SCR_OP_01"
34,-.414259,1,500.0000,286.0000,.099412,1.0004,.0210,.9627,-.5890,.001994,.3971,1.0000,68.000,69.339,.3948,.4439,-.414238,1295.1,528.77,"0","R","K","MCQ_FT_01"
35,-1.86115,1,500.0000,408.0000,.124435,.9821,-.2190,1.0598,.4811,.002124,.3166,1.0000,84.800,83.130,.3286,.3513,-1.86091,363.90,108.48,"0","R","K","MCQ_FT_02"
36,-1.08242,1,500.0000,349.0000,.106484,.9825,-.3290,.9796,-.2090,.002060,.3917,1.0000,73.200,74.693,.3738,.4107,-1.08235,799.17,274.01,"0","R","K","MCQ_FT_03"
37,-1.18750,1,500.0000,358.0000,.108253,1.0633,1.2011,1.1351,1.4511,.002065,.3103,1.0000,74.600,75.814,.3688,.4202,-1.18741,723.52,241.83,"0","R","K","MCQ_FT_04"
38,-.596653,1,500.0000,304.0000,.100656,.9611,-.9390,.9209,-1.2091,.002016,.4319,1.0000,72.000,70.366,.3911,.4297,-.596620,1175.7,460.94,"0","R","K","MCQ_FT_05"
39,.745591,1,500.0000,176.0000,.101989,.9940,-.1290,1.0574,.8011,.002060,.3821,1.0000,70.600,71.296,.3771,.4313,.745548,1083.4,380.46,"0","R","K","MCQ_FT_06"
